Lido staking APR(instant),Lido staking APR(ma_30),Lido staking APR(ma_7),protocol APR(ma_7),protocol_apr,time
2.7858426935048612,3.0080873529125283,2.901742119305567,3.224157910339507,3.095380770560957,2025-04-17 12:23:59.000 UTC
2.8348889238554866,3.008296432666943,2.9802126446429233,3.3113473829365696,3.1498765820616517,2025-04-16 12:24:47.000 UTC
2.8304370933672303,3.003347253020676,3.045377224423917,3.383752471582118,3.144930103741367,2025-04-15 12:21:59.000 UTC
2.9746514808015623,2.999421358549479,3.0867731092576713,3.429747899175179,3.3051683120017357,2025-04-14 12:26:11.000 UTC
2.841712312213031,2.9933543491369763,3.71106869764919,4.123409664054644,3.1574581246811455,2025-04-13 12:24:59.000 UTC
2.885077467598002,2.9922802481031776,3.685421864497951,4.09491318277549,3.2056416306644464,2025-04-12 12:23:59.000 UTC
3.159584863798763,2.990241536665389,3.670502950376992,4.07833661152998,3.510649848665292,2025-04-11 12:24:23.000 UTC
3.3351363708663566,3.0049254017660862,3.6262966275893547,4.029218475099272,3.7057070787403963,2025-04-10 12:22:11.000 UTC
3.2910409823224427,3.0553567228497043,3.5772608841316478,3.9747343157018205,3.6567122025804917,2025-04-09 12:24:47.000 UTC
3.1202082872035115,3.0477265013152133,3.501374385840485,3.8904159842671957,3.4668980968927903,2025-04-08 12:26:35.000 UTC
7.344720599542194,3.034287824711457,3.4535562418782058,3.8372847131979957,8.160800666157993,2025-04-07 12:27:11.000 UTC
2.6621844801543553,2.8877459321865038,2.795993592878939,3.106659547643255,2.9579827557270613,2025-04-06 12:25:11.000 UTC
2.780645068751292,2.9007099060961843,2.810499080556389,3.122776756173755,3.08960563194588,2025-04-05 12:23:11.000 UTC
2.8501406042852997,2.9038027358564182,2.814788287444695,3.1275425416052056,3.166822893650333,2025-04-04 12:24:35.000 UTC
2.9918861666624124,2.9124877093080355,2.838667916021596,3.1540754622462073,3.324317962958236,2025-04-03 12:24:35.000 UTC
2.7598354942843044,2.933179468588906,2.8037628639984478,3.1152920711093754,3.0664838825381158,2025-04-02 12:23:47.000 UTC
2.785481279467552,2.952135929027597,2.793506208795487,3.1038957875505298,3.094979199408391,2025-04-01 12:27:23.000 UTC
2.741782056547325,2.9513884482628923,2.7817282839024977,3.0908092043360966,3.0464245072748057,2025-03-31 12:25:11.000 UTC
2.763722893896508,2.9549187156696215,2.771173073200784,3.079081192445304,3.0708032154405642,2025-03-30 12:25:59.000 UTC
2.8106695169694307,2.9986989902149643,2.7567283079708855,3.0630314533009724,3.122966129966034,2025-03-29 12:27:59.000 UTC
3.0172980043236106,3.0096105261772395,2.736222936746786,3.0402477074964174,3.352553338137345,2025-03-28 12:21:59.000 UTC
2.747550802500373,3.0083922294203003,2.6965981934066012,2.996220214896212,3.0528342250004146,2025-03-27 12:23:23.000 UTC
2.6880389078635742,3.0536760656736064,2.7224154019306206,3.0249060021451224,2.9867098976261937,2025-03-26 12:24:23.000 UTC
2.7030358052166243,3.0571124711881184,2.7485834623709087,3.0539816248565534,3.00337311690736,2025-03-25 12:24:47.000 UTC
2.6678955816353325,3.0581996951238346,2.761309073931003,3.0681211932566588,2.9643284240392584,2025-03-24 12:23:11.000 UTC
2.662609537287216,3.0696651005146722,2.763954495764168,3.0710605508490647,2.95845504143024,2025-03-23 12:25:11.000 UTC
2.667131918400736,3.0721644798294006,2.7711045988990404,3.0790051098878117,2.963479909334151,2025-03-22 12:25:23.000 UTC
2.739924800942316,3.0739615934123283,2.789034496045575,3.0989272178284053,3.0443608899359065,2025-03-21 12:25:11.000 UTC
2.928271262168508,3.0754336339611514,2.798972278939398,3.109969198821542,3.2536347357427866,2025-03-20 12:24:35.000 UTC
2.871215330945592,3.075913355825401,2.7840644021245167,3.093404891249452,3.190239256606213,2025-03-19 12:28:35.000 UTC
2.7921150861372874,3.0723283306184825,2.8881909001065287,3.209101000118354,3.102350095708097,2025-03-18 12:27:47.000 UTC
2.686413534467489,3.0675583692384345,3.1818996025690445,3.5354440028544833,2.9849039271860986,2025-03-17 12:24:23.000 UTC
2.712660259231323,3.0675545060540634,3.2355740028290763,3.5950822253656294,3.01406695470147,2025-03-16 12:25:47.000 UTC
2.792641198426478,3.0721051601931975,3.2362008213804323,3.5957786904226916,3.1029346649183087,2025-03-15 12:26:59.000 UTC
2.8094892811990757,3.077488705170001,3.258461196432879,3.6205124404809657,3.1216547568878616,2025-03-14 12:27:11.000 UTC
2.8239161244643407,3.0775574232002962,3.2929775416108353,3.65886393512314,3.137684582738156,2025-03-13 12:28:47.000 UTC
3.6001008168196744,3.0769622637276766,3.3000509469099737,3.6667232743444047,4.000112018688527,2025-03-12 12:26:35.000 UTC
4.848076003374901,3.0521471358917798,3.2301350884834212,3.5890389872037907,5.386751114861001,2025-03-11 12:26:35.000 UTC
3.0621343362877083,2.9807167247857382,3.0536440801567974,3.3929378668408754,3.40237148476412,2025-03-10 12:28:35.000 UTC
2.717047989090815,2.9735171397681284,3.0917005046078425,3.4352227828975925,3.0189422101009056,2025-03-09 12:26:35.000 UTC
2.948463823793604,2.9802978471487602,3.098273199955785,3.4425257777286395,3.276070915326226,2025-03-08 12:27:35.000 UTC
3.051103697444774,2.9758785158780285,3.083876950663727,3.426529945181908,3.390115219383082,2025-03-07 12:26:11.000 UTC
2.8734299615583088,2.97518267401469,3.230452298208302,3.5893914424536573,3.19269995728701,2025-03-06 12:29:11.000 UTC
3.110689807833807,2.9896643021843157,3.2682502459624976,3.631389162180541,3.4563220087042303,2025-03-05 12:28:47.000 UTC
3.612638945088535,3.2781600967035494,3.2496872879313004,3.610763653256989,4.0140432723205945,2025-03-04 12:29:59.000 UTC
3.328529307445025,3.249970369955703,3.3201768515043035,3.689085390560326,3.698365897161139,2025-03-03 12:25:35.000 UTC
2.7630568565264135,3.2331434558925682,3.2434056751977196,3.60378408355301,3.0700631739182374,2025-03-02 12:26:35.000 UTC
2.847690078749195,3.2342348086302435,3.2394907704493923,3.599434189388202,3.1641000874991057,2025-03-01 12:27:47.000 UTC
4.077131130256797,3.2352922226144205,3.262943293965289,3.6254925488503096,4.53014570028533,2025-02-28 12:25:35.000 UTC
3.1380155958376754,3.192639856617379,3.0715804063184664,3.412867118131618,3.486683995375195,2025-02-27 12:26:23.000 UTC
2.980749101615427,3.184865380800131,3.012013224897167,3.346681360996842,3.311943446239363,2025-02-26 12:24:35.000 UTC
4.106065890099558,3.1879606464552013,2.983918498581678,3.3154649984240763,4.5622954334439525,2025-02-25 12:29:11.000 UTC
2.791131073298935,3.1422200735313814,2.817718074009742,3.1307978600108135,3.1012567481099276,2025-02-24 12:25:47.000 UTC
2.735652523288125,3.14256217652118,2.8137942885010423,3.12643809833448,3.039613914764583,2025-02-23 12:26:11.000 UTC
3.011857743360471,3.1909829494704227,2.8014176772792885,3.1126863080880867,3.3465086037338567,2025-02-22 12:24:59.000 UTC
2.7375909167290415,3.1853108155210714,2.7549090909329843,3.0610101010366386,3.0417676852544906,2025-02-21 12:26:47.000 UTC
2.7210453258885834,3.1913012301107897,2.7708503718867448,3.0787226354297053,3.023383695431759,2025-02-20 12:23:35.000 UTC
2.784086017407003,3.214811726570922,2.804150689292744,3.115722988103038,3.093428908230003,2025-02-19 12:24:11.000 UTC
2.942662918096005,3.237678844796029,2.808074232821449,3.12008248091271,3.2696254645511162,2025-02-18 12:25:23.000 UTC
2.7636645747380353,3.245004434073034,2.7885597217056994,3.0983996907840994,3.070738416375595,2025-02-17 12:27:11.000 UTC
2.649016244735846,3.2522015171923004,2.80170006556352,3.1130000728483442,2.9433513830398286,2025-02-16 12:29:23.000 UTC
2.686297638936346,3.260238607844744,2.809721126343207,3.1219123626035525,2.9847751543737178,2025-02-15 12:27:35.000 UTC
2.8491798834053617,3.26723695262942,2.8325567187465026,3.1472852430516585,3.1657554260059575,2025-02-14 12:23:23.000 UTC
2.9541475477305794,3.2674396430240957,2.842740908332845,3.158601009258706,3.282386164145088,2025-02-13 12:26:59.000 UTC
2.811550822107936,3.268384403892673,2.822988956610142,3.1366543962334794,3.1239453578977066,2025-02-12 12:24:35.000 UTC
2.8060613402857584,3.278378958755336,2.854228616529668,3.171365129477398,3.1178459336508424,2025-02-11 12:25:35.000 UTC
2.8556469817427756,3.274810132954305,2.9259168260098574,3.2510186955664975,3.172941090825306,2025-02-10 12:26:35.000 UTC
2.7051636701936577,3.2715604523956636,4.198762063391006,4.665291181545551,3.0057374113262862,2025-02-09 12:26:59.000 UTC
2.8461467857594123,3.279035636782314,4.2075882737423616,4.675098081935947,3.162385317510458,2025-02-08 12:27:11.000 UTC
2.9204692105097587,3.282569614477406,4.204384716569729,4.671538573966356,3.2449657894552875,2025-02-07 12:27:23.000 UTC
2.815883885671655,3.285726655854086,4.18657446344786,4.651749403830945,3.1287598729685056,2025-02-06 12:21:59.000 UTC
3.030228441544622,3.289350045980568,4.1956499795339806,4.661833310593301,3.3669204906051355,2025-02-05 12:22:11.000 UTC
3.3078788066470826,3.283300582459225,4.162411652219829,4.6249018357997995,3.6754208962745363,2025-02-04 12:24:23.000 UTC
11.765563643410811,3.2666004966145135,4.104826297173133,4.560918107970138,13.072848492678679,2025-02-03 12:22:11.000 UTC
2.7669471426531493,2.970115951562347,2.8631182154383814,3.1812424615981914,3.074385714059055,2025-02-02 12:24:35.000 UTC
2.8237218855509867,2.974628169509186,2.8583898668286416,3.175988740920702,3.1374687617233183,2025-02-01 12:26:11.000 UTC
2.7957974386566717,2.9801631304539553,2.8552001921774854,3.1724446579749737,3.1064415985074127,2025-01-31 12:27:11.000 UTC
2.879412498274502,2.9818978085918784,3.054125659764447,3.3934729552938196,3.199347220305002,2025-01-30 12:27:23.000 UTC
2.7975601503455643,2.9846228738932834,3.0487372635652226,3.387485848405792,3.1084001670506267,2025-01-29 12:23:35.000 UTC
2.9047813213202103,2.983094550625396,3.0658434355759416,3.40649270619548,3.2275348014669003,2025-01-28 12:23:47.000 UTC
3.07360707126755,2.977669287896139,3.1403547067719906,3.489283007524424,3.4151189680750553,2025-01-27 12:23:59.000 UTC
2.7338487023849676,2.9672376464566015,3.196996491470942,3.5522183238565925,3.0376096693166303,2025-01-26 12:23:11.000 UTC
2.801394162992897,2.970099287418289,3.258222476331113,3.6202471959234495,3.112660181103219,2025-01-25 12:22:59.000 UTC
4.188275711765401,2.9684189307162097,3.2836771770915596,3.64853019676839,4.653639679739334,2025-01-24 12:27:47.000 UTC
2.841693724879931,2.9202066651529566,3.098227641740668,3.4424751574896204,3.1574374720888123,2025-01-23 12:27:11.000 UTC
2.9173033544205964,2.9195687341817247,3.106021107111625,3.4511345634573507,3.2414481715784405,2025-01-22 12:29:23.000 UTC
3.4263602196925556,2.917634865890286,3.0971578558009156,3.441286506445451,3.807066910769506,2025-01-21 12:22:59.000 UTC
3.4700995641602126,2.9000098469929343,3.033747877814536,3.3708309753494734,3.855666182400236,2025-01-20 12:22:47.000 UTC
3.162430596406164,2.8818248021136585,2.982503292647055,3.3138925473856053,3.5138117737846266,2025-01-19 12:23:23.000 UTC
2.9795770683160234,2.885614898300825,2.9162984311968607,3.2403315902187226,3.310641187017804,2025-01-18 12:27:47.000 UTC
2.890128964309154,2.8852309067856994,2.8846669307207935,3.205185478578648,3.2112544047879488,2025-01-17 12:24:47.000 UTC
2.8962479824766305,2.8841027012107636,2.8902798217899393,3.211422024211032,3.2180533138629226,2025-01-16 12:25:35.000 UTC
2.855260595245631,2.883121220108706,2.8982681266664465,3.2202979185182623,3.1725117724951453,2025-01-15 12:27:35.000 UTC
2.982490373787896,2.883100531602844,2.921113820461381,3.2456820227348566,3.313878193097662,2025-01-14 12:27:35.000 UTC
3.111387467987842,2.875703480196084,2.9128417084154106,3.236490787128223,3.4570971866531575,2025-01-13 12:29:11.000 UTC
2.698996566254805,2.865170991642896,2.875321289546338,3.1948014328292538,2.99888507361645,2025-01-12 12:23:23.000 UTC
2.7581565649835516,2.871758799272252,2.8907326702678984,3.2119251891865437,3.0646184055372796,2025-01-11 12:23:47.000 UTC
2.929419201793173,2.8772560322052643,2.9068570598196506,3.2298411775773794,3.254910224214637,2025-01-10 12:22:11.000 UTC
2.95216611661218,2.88079667278262,2.9029848425718128,3.225538713968671,3.2801845740135334,2025-01-09 12:22:59.000 UTC
3.015180451810174,2.8961106491437403,2.9083569278977977,3.231507697664209,3.3502005020113046,2025-01-08 12:26:23.000 UTC
2.9245855894661057,2.890797627708005,2.884450832324109,3.2049453692489998,3.2495395438512285,2025-01-07 12:27:35.000 UTC
2.8487445359043355,2.885977489438831,2.889676384874187,3.2107515387490864,3.1652717065603726,2025-01-06 12:28:47.000 UTC
2.8068762313057305,2.88743256474271,2.875814372931989,3.1953493032577547,3.1187513681174783,2025-01-05 12:28:11.000 UTC
2.8710272918458166,2.9051394843826324,2.8665496883801005,3.1850552093112117,3.1900303242731294,2025-01-04 12:24:23.000 UTC
2.9023136810583106,2.909269715029159,2.8507826221280435,3.167536246808926,3.2247929789536784,2025-01-03 12:22:23.000 UTC
2.9897707138940692,2.91731810365294,2.83898037215337,3.1544226357259553,3.3219674598822992,2025-01-02 12:23:11.000 UTC
2.847837782794354,2.921376205946048,2.8048679075871474,3.116519897319041,3.1642642031048376,2025-01-01 12:22:23.000 UTC
2.961164457316652,2.9245920410138573,2.7897350450262124,3.0997056055846692,3.290182730351835,2024-12-31 12:23:35.000 UTC
2.751710452308947,2.918933677099258,2.769933807658544,3.0777042307317046,3.057456058121052,2024-12-30 12:25:11.000 UTC
2.7420234394425105,2.9206297439458804,2.785301929568329,3.094779921742576,3.046692710491678,2024-12-29 12:27:35.000 UTC
2.760657828081415,2.9227594669311703,2.80752853147254,3.119476146080589,3.067397586757128,2024-12-28 12:27:23.000 UTC
2.8196979312355985,2.9276436263567707,2.830941444286902,3.1454904936521024,3.1329977013728874,2024-12-27 12:23:23.000 UTC
2.7509834619305096,2.9322772555521635,2.8961465229705547,3.2179405810783837,3.0566482910338992,2024-12-26 12:22:23.000 UTC
2.74190774486781,2.940397436650137,2.92715707453223,3.252396749480245,3.046564160964233,2024-12-25 12:23:23.000 UTC
2.8225557957429754,2.9457702644550783,2.9434963677026973,3.270551519669653,3.136173106381084,2024-12-24 12:23:23.000 UTC
2.859287305677436,2.9519688656431624,2.949817475370114,3.2775749726334493,3.176985895197151,2024-12-23 12:22:11.000 UTC
2.897609652771991,2.9558724673995647,2.949153565997591,3.2768372955528684,3.2195662808577676,2024-12-22 12:27:35.000 UTC
2.924548217781951,2.96070412157493,2.9295777343994613,3.2550863715549463,3.249498019757723,2024-12-21 12:24:47.000 UTC
3.2761334820211685,2.9626553551680535,2.9111298192009243,3.234588688001016,3.6401483133568537,2024-12-20 12:27:23.000 UTC
2.968057322862238,2.954513297310911,2.8569151496458294,3.174350166273133,3.2978414698469307,2024-12-19 12:21:59.000 UTC
2.8562827970610787,2.956644062671093,2.8504888968046385,3.1672098853384765,3.1736475522900873,2024-12-18 12:23:11.000 UTC
2.8668035494148914,2.9585534256220267,2.8761111285264613,3.195679031696058,3.185337277127657,2024-12-17 12:24:59.000 UTC
2.8546399400697764,2.9603643276008236,2.953937108245161,3.282152342494612,3.171822155633085,2024-12-16 12:23:59.000 UTC
2.760578831585084,2.9660511273076824,2.954101375197783,3.2823348613308587,3.0673098128723155,2024-12-15 12:24:35.000 UTC
2.7954128113921937,2.9812489286073864,2.9568731765986107,3.285414640665112,3.106014234880215,2024-12-14 12:24:23.000 UTC
2.896630795135503,3.0054629272557922,2.9707280314026834,3.3008089237807474,3.2184786612616696,2024-12-13 12:26:59.000 UTC
2.923073552973899,3.013585259284599,3.0337927493123855,3.3708808325693056,3.2478595033043325,2024-12-12 12:27:59.000 UTC
3.035638419113842,3.0317513961400024,3.044058557636344,3.382287286262593,3.3729315767931576,2024-12-11 12:28:47.000 UTC
3.4115854074457865,3.032404554001306,3.059505260587472,3.3994502895416248,3.7906504527175406,2024-12-10 12:21:59.000 UTC
2.855789808738129,3.0160710354833578,3.016637885621978,3.3518198729132975,3.17309978748681,2024-12-09 12:23:23.000 UTC
2.77998144139088,3.0242549901991382,3.0292840322063346,3.3658711468959166,3.0888682682120887,2024-12-08 12:23:23.000 UTC
2.892396795020701,3.0325630270063724,3.030917189133163,3.3676857657035035,3.213774216689668,2024-12-07 12:23:11.000 UTC
3.3380838205034173,3.036181710646957,3.018087998088437,3.353431108987142,3.7089820227815746,2024-12-06 12:23:47.000 UTC
2.9949342112416106,3.032097286910502,2.9420638993024073,3.2689598881137756,3.3277046791573452,2024-12-05 12:26:35.000 UTC
3.14376533977174,3.0299841856210747,2.9295279563892387,3.2550310626546985,3.493072599746378,2024-12-04 12:27:11.000 UTC
3.111513782687328,3.020752462889812,2.903091023150042,3.2256566923889247,3.457237536319253,2024-12-03 12:29:11.000 UTC
2.944312834828627,3.0125805538768597,2.8863874677475274,3.207097186386131,3.2714587053651414,2024-12-02 12:21:59.000 UTC
2.791413539878678,3.008936989888721,2.880498859774304,3.2005542886381053,3.1015705998651977,2024-12-01 12:21:59.000 UTC
2.802592457707622,3.0217032650927638,2.911513187132421,3.2350146523693466,3.1139916196751356,2024-11-30 12:23:11.000 UTC
