date,timestamp,SP_open,SP_close,SP_high,SP_low,SP_vol,spot_exchange,spot_symbol
2022-09-16,1663286400,19701.88,19803.3,19890.0,19320.01,5584012914.1139,Binance,BTCUSDT
2022-09-17,1663372800,19803.3,20113.62,20189.0,19748.08,3578667842.6953,Binance,BTCUSDT
2022-09-18,1663459200,20112.61,19416.18,20117.26,19335.62,5033968947.5306,Binance,BTCUSDT
2022-09-19,1663545600,19417.45,19537.02,19686.2,18232.56,7215196795.6561,Binance,BTCUSDT
2022-09-20,1663632000,19537.02,18875.0,19634.62,18711.87,6206043205.4123,Binance,BTCUSDT
2022-09-21,1663718400,18874.31,18461.36,19956.0,18125.98,7338667639.752,Binance,BTCUSDT
2022-09-22,1663804800,18461.36,19401.63,19550.17,18356.39,7203741481.4836,Binance,BTCUSDT
2022-09-23,1663891200,19401.63,19289.91,19500.0,18531.42,7330336009.191,Binance,BTCUSDT
2022-09-24,1663977600,19288.57,18920.5,19316.14,18805.34,4568927983.6508,Binance,BTCUSDT
2022-09-25,1664064000,18921.99,18807.38,19180.21,18629.2,3625136713.9247,Binance,BTCUSDT
2022-09-26,1664150400,18809.13,19227.82,19318.96,18680.72,8356951609.9987,Binance,BTCUSDT
2022-09-27,1664236800,19226.68,19079.13,20385.86,18816.32,11705770260.6722,Binance,BTCUSDT
2022-09-28,1664323200,19078.1,19412.82,19790.0,18471.28,9964460007.3044,Binance,BTCUSDT
2022-09-29,1664409600,19412.82,19591.51,19645.52,18843.01,7868786414.8562,Binance,BTCUSDT
2022-09-30,1664496000,19590.54,19422.61,20185.0,19155.36,8694127253.5766,Binance,BTCUSDT
2022-10-01,1664582400,19422.61,19310.95,19484.0,19159.42,3200350294.5269,Binance,BTCUSDT
2022-10-02,1664668800,19312.24,19056.8,19395.91,18920.35,3970724799.9558,Binance,BTCUSDT
2022-10-03,1664755200,19057.74,19629.08,19719.1,18959.68,5672105805.7721,Binance,BTCUSDT
2022-10-04,1664841600,19629.08,20337.82,20475.0,19490.6,6533428229.8511,Binance,BTCUSDT
2022-10-05,1664928000,20337.82,20158.26,20365.6,19730.0,6275437160.9581,Binance,BTCUSDT
2022-10-06,1665014400,20158.26,19960.67,20456.6,19853.0,6452892402.3243,Binance,BTCUSDT
2022-10-07,1665100800,19960.67,19530.09,20068.82,19320.0,4353681483.987,Binance,BTCUSDT
2022-10-08,1665187200,19530.09,19417.96,19627.38,19237.14,1995917001.7396,Binance,BTCUSDT
2022-10-09,1665273600,19416.52,19439.02,19558.0,19316.04,2215007204.238,Binance,BTCUSDT
2022-10-10,1665360000,19439.96,19131.87,19525.0,19020.25,4101745483.1295,Binance,BTCUSDT
2022-10-11,1665446400,19131.87,19060.0,19268.09,18860.0,4642843395.6003,Binance,BTCUSDT
2022-10-12,1665532800,19060.0,19155.53,19238.31,18965.88,4086903621.9266,Binance,BTCUSDT
2022-10-13,1665619200,19155.1,19375.13,19513.79,18190.0,7554309475.308,Binance,BTCUSDT
2022-10-14,1665705600,19375.58,19176.93,19951.87,19070.37,6877621835.2258,Binance,BTCUSDT
2022-10-15,1665792000,19176.93,19069.39,19227.68,18975.18,2178316065.6222,Binance,BTCUSDT
2022-10-16,1665878400,19068.4,19262.98,19425.84,19063.74,2531545363.3077,Binance,BTCUSDT
2022-10-17,1665964800,19262.98,19549.86,19676.96,19152.03,4331666395.6047,Binance,BTCUSDT
2022-10-18,1666051200,19548.48,19327.44,19706.66,19091.0,5065944973.4643,Binance,BTCUSDT
2022-10-19,1666137600,19327.44,19123.97,19360.16,19065.97,3575041318.4498,Binance,BTCUSDT
