date,timestamp,SP_open,SP_close,SP_high,SP_low,SP_vol,spot_exchange,spot_symbol
2023-12-10,1702166400,43713.59,43789.51,44049.0,43563.0,830485162.557,Binance,BTCUSDT
2023-12-11,1702252800,43789.5,41253.4,43804.5,40222.0,3205540835.5114,Binance,BTCUSDT
2023-12-12,1702339200,41253.41,41492.39,42104.12,40680.0,1773961284.3376,Binance,BTCUSDT
2023-12-13,1702425600,41492.38,42869.03,43475.2,40555.0,1919703389.4849,Binance,BTCUSDT
2023-12-14,1702512000,42869.03,43022.26,43420.0,41400.0,1798740625.3017,Binance,BTCUSDT
2023-12-15,1702598400,43022.26,41940.3,43080.81,41666.0,1416898938.51,Binance,BTCUSDT
2023-12-16,1702684800,41940.29,42278.03,42724.43,41605.0,1020469627.8857,Binance,BTCUSDT
2023-12-17,1702771200,42278.02,41374.65,42424.07,41252.0,1161963642.9628,Binance,BTCUSDT
2023-12-18,1702857600,41374.64,42657.8,42757.81,40542.93,1936003306.0826,Binance,BTCUSDT
2023-12-19,1702944000,42657.8,42275.99,43497.0,41811.1,1747830242.4616,Binance,BTCUSDT
2023-12-20,1703030400,42275.99,43668.93,44283.0,42206.0,2115813869.7796,Binance,BTCUSDT
2023-12-21,1703116800,43668.92,43861.8,44242.35,43286.72,1514529919.1878,Binance,BTCUSDT
2023-12-22,1703203200,43861.79,43969.04,44398.26,43412.54,1436074497.5129,Binance,BTCUSDT
2023-12-23,1703289600,43969.04,43702.16,43988.68,43291.1,722943825.3332,Binance,BTCUSDT
2023-12-24,1703376000,43702.15,42991.5,43946.0,42500.0,1093460634.8894,Binance,BTCUSDT
2023-12-25,1703462400,42991.5,43576.13,43802.32,42720.43,1172053386.511,Binance,BTCUSDT
2023-12-26,1703548800,43576.12,42508.93,43592.68,41637.6,1746333612.3049,Binance,BTCUSDT
2023-12-27,1703635200,42508.93,43428.85,43677.0,42098.69,1554082990.0523,Binance,BTCUSDT
2023-12-28,1703721600,43428.86,42563.76,43787.57,42241.79,1508408742.3781,Binance,BTCUSDT
2023-12-29,1703808000,42563.76,42066.95,43111.0,41300.0,1803086285.2466,Binance,BTCUSDT
2023-12-30,1703894400,42066.94,42140.28,42612.32,41520.3,964875790.9849,Binance,BTCUSDT
2023-12-31,1703980800,42140.29,42283.58,42899.0,41965.84,1001519241.5559,Binance,BTCUSDT
2024-01-01,1704067200,42283.58,44179.55,44184.1,42180.77,1169995682.028,Binance,BTCUSDT
2024-01-02,1704153600,44179.55,44946.91,45879.63,44148.34,2944331821.8231,Binance,BTCUSDT
2024-01-03,1704240000,44946.91,42845.23,45500.0,40750.0,3507104563.7442,Binance,BTCUSDT
2024-01-04,1704326400,42845.23,44151.1,44729.58,42613.77,2095095359.4936,Binance,BTCUSDT
2024-01-05,1704412800,44151.1,44145.11,44357.46,42450.0,2100953924.3687,Binance,BTCUSDT
2024-01-06,1704499200,44145.12,43968.32,44214.42,43397.05,781212883.4916,Binance,BTCUSDT
2024-01-07,1704585600,43968.32,43929.02,44480.59,43572.09,1014635096.1241,Binance,BTCUSDT
2024-01-08,1704672000,43929.01,46951.04,47248.99,43175.0,3298772150.6815,Binance,BTCUSDT
