exchange,baseAsset,futuresInstrumentId
OKX,BTC,BTC-USDT-250530
OKX,BTC,BTC-USDT-250627
OKX,BTC,BTC-USDT-250926
OKX,BTC,BTC-USDT-251226
OKX,ETH,ETH-USDT-250509
OKX,ETH,ETH-USDT-250516
OKX,ETH,ETH-USDT-250627
OKX,ETH,ETH-USDT-250926
OKX,BTC,BTC-USDC-250627
OKX,ETH,ETH-USDC-250627
WhiteBIT,BTC,BTC_PERP
WhiteBIT,ETH,ETH_PERP
