date,timestamp,SP_open,SP_close,SP_high,SP_low,SP_vol,spot_exchange,spot_symbol
2023-12-10,1702166400,2340.48,2352.39,2377.47,2320.0,469860963.9472,Binance,ETHUSDT
2023-12-11,1702252800,2352.39,2225.12,2355.0,2156.62,1426910964.9662,Binance,ETHUSDT
2023-12-12,1702339200,2225.11,2203.46,2244.12,2166.0,799015127.415,Binance,ETHUSDT
2023-12-13,1702425600,2203.47,2260.16,2284.02,2144.32,922420273.9473,Binance,ETHUSDT
2023-12-14,1702512000,2260.16,2315.32,2332.11,2228.2,934716057.6509,Binance,ETHUSDT
2023-12-15,1702598400,2315.32,2220.5,2317.81,2200.0,754022987.2477,Binance,ETHUSDT
2023-12-16,1702684800,2220.51,2228.96,2263.4,2210.0,446980227.0828,Binance,ETHUSDT
2023-12-17,1702771200,2228.96,2196.52,2248.68,2191.5,501306718.2428,Binance,ETHUSDT
2023-12-18,1702857600,2196.53,2219.43,2224.0,2116.6,789100505.0317,Binance,ETHUSDT
2023-12-19,1702944000,2219.44,2177.91,2255.0,2135.55,847060839.7084,Binance,ETHUSDT
2023-12-20,1703030400,2177.9,2202.17,2266.0,2156.0,922794580.7034,Binance,ETHUSDT
2023-12-21,1703116800,2202.17,2239.61,2279.31,2182.98,1010354340.1358,Binance,ETHUSDT
2023-12-22,1703203200,2239.6,2324.54,2343.15,2230.59,1358322906.9581,Binance,ETHUSDT
2023-12-23,1703289600,2324.54,2308.2,2330.65,2265.0,586078143.2421,Binance,ETHUSDT
2023-12-24,1703376000,2308.2,2264.05,2326.19,2245.0,705420988.785,Binance,ETHUSDT
2023-12-25,1703462400,2264.04,2271.35,2304.8,2253.1,652158658.2584,Binance,ETHUSDT
2023-12-26,1703548800,2271.36,2230.88,2274.99,2178.45,916097827.4985,Binance,ETHUSDT
2023-12-27,1703635200,2230.88,2378.35,2392.44,2211.88,1250873719.5507,Binance,ETHUSDT
2023-12-28,1703721600,2378.35,2344.15,2445.8,2335.0,1385456486.2862,Binance,ETHUSDT
2023-12-29,1703808000,2344.15,2299.2,2385.41,2255.34,1049566350.1222,Binance,ETHUSDT
2023-12-30,1703894400,2299.2,2291.68,2322.84,2268.0,483369913.4788,Binance,ETHUSDT
2023-12-31,1703980800,2291.68,2281.87,2321.34,2258.88,510046689.1874,Binance,ETHUSDT
2024-01-01,1704067200,2281.87,2352.04,2352.37,2265.24,500451219.6128,Binance,ETHUSDT
2024-01-02,1704153600,2352.05,2355.34,2431.3,2341.0,1090922198.0491,Binance,ETHUSDT
2024-01-03,1704240000,2355.35,2209.72,2385.45,2100.0,1797597895.1799,Binance,ETHUSDT
2024-01-04,1704326400,2209.72,2267.11,2294.69,2201.91,1009072619.2068,Binance,ETHUSDT
2024-01-05,1704412800,2267.11,2268.78,2277.21,2206.17,910367621.1817,Binance,ETHUSDT
2024-01-06,1704499200,2268.78,2240.78,2270.0,2216.4,434867515.9592,Binance,ETHUSDT
2024-01-07,1704585600,2240.77,2221.42,2258.01,2203.46,463525159.2574,Binance,ETHUSDT
2024-01-08,1704672000,2221.42,2330.44,2358.2,2166.38,1221527410.4408,Binance,ETHUSDT
2024-01-09,1704758400,2330.43,2344.29,2371.72,2226.78,1267764132.8361,Binance,ETHUSDT
2024-01-10,1704844800,2344.3,2584.38,2643.1,2339.59,2536320982.3885,Binance,ETHUSDT
2024-01-11,1704931200,2584.37,2618.01,2689.39,2566.01,2194916359.1916,Binance,ETHUSDT
2024-01-12,1705017600,2618.01,2522.54,2717.32,2458.0,2318179618.0869,Binance,ETHUSDT
2024-01-13,1705104000,2522.55,2578.19,2590.0,2497.5,1075466481.7204,Binance,ETHUSDT
2024-01-14,1705190400,2578.18,2472.87,2578.69,2470.0,774962904.8071,Binance,ETHUSDT
2024-01-15,1705276800,2472.87,2511.78,2553.82,2470.92,793871974.8716,Binance,ETHUSDT
2024-01-16,1705363200,2511.79,2587.4,2614.43,2500.05,972060398.7746,Binance,ETHUSDT
2024-01-17,1705449600,2587.41,2530.19,2592.97,2506.75,933809190.3482,Binance,ETHUSDT
2024-01-18,1705536000,2530.2,2470.81,2550.0,2428.56,1129803152.9148,Binance,ETHUSDT
2024-01-19,1705622400,2470.81,2492.0,2504.2,2415.2,1047352971.8934,Binance,ETHUSDT
2024-01-20,1705708800,2491.99,2472.01,2492.0,2454.2,337794603.1476,Binance,ETHUSDT
2024-01-21,1705795200,2472.02,2457.05,2482.18,2452.13,303022758.7281,Binance,ETHUSDT
2024-01-22,1705881600,2457.06,2314.2,2466.1,2303.59,1252505758.3229,Binance,ETHUSDT
2024-01-23,1705968000,2314.19,2242.6,2352.23,2168.07,1568448812.4381,Binance,ETHUSDT
2024-01-24,1706054400,2242.6,2235.02,2264.6,2196.12,802477123.1085,Binance,ETHUSDT
2024-01-25,1706140800,2235.02,2218.64,2242.89,2171.3,731016014.3823,Binance,ETHUSDT
2024-01-26,1706227200,2218.64,2267.68,2282.36,2195.84,815753832.1632,Binance,ETHUSDT
2024-01-27,1706313600,2267.67,2267.94,2282.94,2251.4,329102144.4598,Binance,ETHUSDT
2024-01-28,1706400000,2267.94,2256.9,2308.24,2239.89,476534769.1589,Binance,ETHUSDT
2024-01-29,1706486400,2256.9,2317.6,2322.34,2233.8,696374288.6195,Binance,ETHUSDT
2024-01-30,1706572800,2317.61,2343.01,2391.98,2297.0,871148737.1667,Binance,ETHUSDT
2024-01-31,1706659200,2343.0,2283.14,2351.6,2263.57,920131584.2901,Binance,ETHUSDT
2024-02-01,1706745600,2283.15,2304.28,2311.72,2240.0,708868445.0468,Binance,ETHUSDT
2024-02-02,1706832000,2304.28,2309.06,2324.74,2281.94,549302201.6976,Binance,ETHUSDT
2024-02-03,1706918400,2309.07,2296.49,2329.98,2292.75,307866239.1864,Binance,ETHUSDT
2024-02-04,1707004800,2296.5,2289.79,2311.0,2266.0,393039532.4521,Binance,ETHUSDT
2024-02-05,1707091200,2289.79,2301.83,2338.41,2269.11,545576620.0026,Binance,ETHUSDT
2024-02-06,1707177600,2301.84,2372.64,2392.4,2299.0,864113645.7877,Binance,ETHUSDT
2024-02-07,1707264000,2372.63,2425.1,2444.44,2354.0,820475884.3035,Binance,ETHUSDT
2024-02-08,1707350400,2425.09,2419.55,2463.15,2411.01,821961943.6521,Binance,ETHUSDT
2024-02-09,1707436800,2419.56,2486.56,2525.0,2419.16,1222635531.6288,Binance,ETHUSDT
2024-02-10,1707523200,2486.56,2500.24,2516.45,2471.57,461966177.3948,Binance,ETHUSDT
2024-02-11,1707609600,2500.24,2507.21,2539.63,2493.45,553430378.3251,Binance,ETHUSDT
2024-02-12,1707696000,2507.22,2659.99,2665.58,2472.0,1152087242.1264,Binance,ETHUSDT
2024-02-13,1707782400,2659.99,2639.99,2686.12,2590.0,1328138932.9292,Binance,ETHUSDT
2024-02-14,1707868800,2639.99,2774.81,2786.0,2618.4,1258639954.5477,Binance,ETHUSDT
2024-02-15,1707955200,2774.8,2822.59,2867.65,2759.25,1353587492.5148,Binance,ETHUSDT
2024-02-16,1708041600,2822.58,2801.8,2857.4,2740.0,1062271564.4879,Binance,ETHUSDT
2024-02-17,1708128000,2801.81,2785.93,2804.21,2719.01,673711593.2517,Binance,ETHUSDT
2024-02-18,1708214400,2785.92,2881.2,2895.0,2764.25,1037802342.5933,Binance,ETHUSDT
2024-02-19,1708300800,2881.2,2944.8,2984.52,2856.93,1302430726.1297,Binance,ETHUSDT
2024-02-20,1708387200,2944.8,3014.81,3033.09,2874.56,1868745481.6475,Binance,ETHUSDT
2024-02-21,1708473600,3014.81,2967.9,3017.15,2868.0,1746960179.7939,Binance,ETHUSDT
2024-02-22,1708560000,2967.91,2971.4,3036.02,2906.51,1676206889.4514,Binance,ETHUSDT
2024-02-23,1708646400,2971.4,2922.24,2993.8,2906.05,1261137725.512,Binance,ETHUSDT
2024-02-24,1708732800,2922.25,2992.62,3007.48,2906.4,721993808.5662,Binance,ETHUSDT
2024-02-25,1708819200,2992.62,3112.59,3122.0,2983.61,1257766106.5463,Binance,ETHUSDT
2024-02-26,1708905600,3112.6,3175.94,3196.0,3036.59,1703165045.2415,Binance,ETHUSDT
2024-02-27,1708992000,3175.95,3242.36,3288.14,3160.02,2025805516.9749,Binance,ETHUSDT
2024-02-28,1709078400,3242.35,3383.1,3488.0,3176.16,3153201034.9148,Binance,ETHUSDT
2024-02-29,1709164800,3383.11,3340.09,3522.81,3300.0,2608623102.4902,Binance,ETHUSDT
2024-03-01,1709251200,3340.1,3433.43,3450.0,3338.54,1405295834.5727,Binance,ETHUSDT
2024-03-02,1709337600,3433.42,3421.4,3460.04,3390.01,971756920.4512,Binance,ETHUSDT
2024-03-03,1709424000,3421.39,3487.81,3491.8,3360.0,1172272660.9845,Binance,ETHUSDT
2024-03-04,1709510400,3487.8,3627.76,3640.94,3423.78,2526905041.9392,Binance,ETHUSDT
2024-03-05,1709596800,3627.75,3553.65,3822.04,3200.0,5043847679.6835,Binance,ETHUSDT
2024-03-06,1709683200,3553.66,3818.59,3900.0,3499.4,3652250924.2777,Binance,ETHUSDT
2024-03-07,1709769600,3818.58,3868.76,3933.81,3735.0,2067607917.4437,Binance,ETHUSDT
2024-03-08,1709856000,3868.76,3883.36,3993.75,3820.0,2534209920.0056,Binance,ETHUSDT
2024-03-09,1709942400,3883.37,3905.21,3942.0,3870.01,995823688.3136,Binance,ETHUSDT
2023-12-10,1702166400,2342.5,2354.6,2378.9,2324.5,4833094.4317,Bitfinex,ETHUSD
2023-12-11,1702252800,2353.6,2226.9,2356.4,2137.8,25775952.5435,Bitfinex,ETHUSD
2023-12-12,1702339200,2226.3,2204.4,2245.0,2166.7,10273575.079,Bitfinex,ETHUSD
2023-12-13,1702425600,2204.5,2262.5,2285.1,2147.8,11980792.3956,Bitfinex,ETHUSD
2023-12-14,1702512000,2262.1,2319.1,2334.1,2229.5,9633900.769,Bitfinex,ETHUSD
2023-12-15,1702598400,2317.5,2220.8,2319.8,2201.6,6966277.7928,Bitfinex,ETHUSD
2023-12-16,1702684800,2223.9,2231.7,2265.6,2213.5,5128720.1905,Bitfinex,ETHUSD
2023-12-17,1702771200,2232.3,2197.7,2250.0,2192.0,4982511.815,Bitfinex,ETHUSD
2023-12-18,1702857600,2198.1,2219.4,2224.7,2118.2,11246279.7851,Bitfinex,ETHUSD
2023-12-19,1702944000,2220.7,2180.5,2257.2,2138.0,9330478.8622,Bitfinex,ETHUSD
2023-12-20,1703030400,2180.1,2203.7,2268.0,2160.2,11545491.0944,Bitfinex,ETHUSD
2023-12-21,1703116800,2201.6,2241.5,2281.8,2187.0,11678756.1073,Bitfinex,ETHUSD
2023-12-22,1703203200,2242.3,2330.0,2346.9,2233.1,14810986.4633,Bitfinex,ETHUSD
2023-12-23,1703289600,2329.7,2312.8,2337.1,2269.2,4390617.4485,Bitfinex,ETHUSD
2023-12-24,1703376000,2312.6,2267.1,2325.2,2248.1,5991532.8928,Bitfinex,ETHUSD
2023-12-25,1703462400,2267.1,2275.0,2308.4,2257.3,3941608.7171,Bitfinex,ETHUSD
2023-12-26,1703548800,2274.2,2234.0,2277.0,2182.0,10529424.0512,Bitfinex,ETHUSD
2023-12-27,1703635200,2233.1,2379.6,2393.5,2215.3,34644582.1346,Bitfinex,ETHUSD
2023-12-28,1703721600,2380.7,2348.0,2447.1,2337.1,46539525.8793,Bitfinex,ETHUSD
2023-12-29,1703808000,2346.5,2302.7,2388.6,2258.1,14091135.449,Bitfinex,ETHUSD
2023-12-30,1703894400,2299.7,2293.5,2324.7,2271.3,6343414.7457,Bitfinex,ETHUSD
2023-12-31,1703980800,2294.0,2284.9,2323.7,2260.0,4861782.8394,Bitfinex,ETHUSD
2024-01-01,1704067200,2286.5,2352.5,2352.6,2269.5,12154925.4873,Bitfinex,ETHUSD
2024-01-02,1704153600,2352.7,2356.7,2431.9,2340.0,30387981.8143,Bitfinex,ETHUSD
2024-01-03,1704240000,2358.2,2211.8,2387.1,2097.4,49884666.9685,Bitfinex,ETHUSD
2024-01-04,1704326400,2211.3,2270.8,2298.4,2204.7,13951767.707,Bitfinex,ETHUSD
2024-01-05,1704412800,2271.0,2270.1,2279.5,2209.5,9351020.632,Bitfinex,ETHUSD
2024-01-06,1704499200,2271.6,2242.0,2272.9,2218.5,7520713.7824,Bitfinex,ETHUSD
2024-01-07,1704585600,2242.9,2224.1,2260.0,2206.6,4262289.8976,Bitfinex,ETHUSD
2024-01-08,1704672000,2223.6,2333.0,2359.6,2168.4,16464958.3276,Bitfinex,ETHUSD
2024-01-09,1704758400,2333.0,2344.1,2371.5,2226.7,29462735.7206,Bitfinex,ETHUSD
2024-01-10,1704844800,2344.5,2580.4,2635.1,2340.4,84523999.8456,Bitfinex,ETHUSD
