date,timestamp,FR_open,FR_close,FR_high,FR_low,perp_exchange,perp_symbol
2020-06-29,1593388800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-06-30,1593475200,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-01,1593561600,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-02,1593648000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-03,1593734400,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-04,1593820800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-05,1593907200,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-06,1593993600,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-07,1594080000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-08,1594166400,0.01,0.011415,0.011415,0.01,Binance,ETHUSDT
2020-07-09,1594252800,0.011671,0.01,0.016484,0.01,Binance,ETHUSDT
2020-07-10,1594339200,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-11,1594425600,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-12,1594512000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-13,1594598400,0.01,0.01,0.01297,0.01,Binance,ETHUSDT
2020-07-14,1594684800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-15,1594771200,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-16,1594857600,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-17,1594944000,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-18,1595030400,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-19,1595116800,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-20,1595203200,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-21,1595289600,0.01,0.01,0.01,0.01,Binance,ETHUSDT
2020-07-22,1595376000,0.01,0.020736,0.020736,0.01,Binance,ETHUSDT
2020-07-23,1595462400,0.05406,0.070768,0.113871,0.047652,Binance,ETHUSDT
2020-07-24,1595548800,0.058617,0.030034,0.102574,0.026112,Binance,ETHUSDT
2020-07-25,1595635200,0.032617,0.04685,0.04685,0.019096,Binance,ETHUSDT
2020-07-26,1595721600,0.040099,0.07063,0.15152,0.040099,Binance,ETHUSDT
2020-07-27,1595808000,0.069439,0.093532,0.102257,0.069439,Binance,ETHUSDT
