date,timestamp,SP_open,SP_close,SP_high,SP_low,SP_vol,spot_exchange,spot_symbol
2020-06-29,1593388800,224.89,227.93,229.96,221.26,134510531.1977,Binance,ETHUSDT
2020-06-30,1593475200,227.98,225.6,228.7,222.91,93802207.2736,Binance,ETHUSDT
2020-07-01,1593561600,225.59,230.99,232.71,224.16,118322932.855,Binance,ETHUSDT
2020-07-02,1593648000,230.99,226.46,232.01,222.87,134976975.1232,Binance,ETHUSDT
2020-07-03,1593734400,226.46,224.87,228.13,223.97,71286978.5036,Binance,ETHUSDT
2020-07-04,1593820800,224.86,229.17,230.71,224.43,69899468.2799,Binance,ETHUSDT
2020-07-05,1593907200,229.24,227.56,229.85,223.05,80528660.6192,Binance,ETHUSDT
2020-07-06,1593993600,227.54,241.6,242.0,226.93,203334727.8501,Binance,ETHUSDT
2020-07-07,1594080000,241.6,239.39,243.77,234.4,143122828.3751,Binance,ETHUSDT
2020-07-08,1594166400,239.39,246.95,248.88,237.78,233460700.7552,Binance,ETHUSDT
2020-07-09,1594252800,246.94,241.98,247.9,237.88,157541370.0048,Binance,ETHUSDT
2020-07-10,1594339200,241.97,241.26,242.16,235.72,108806462.4651,Binance,ETHUSDT
2020-07-11,1594425600,241.27,239.19,241.67,237.54,70548557.6778,Binance,ETHUSDT
2020-07-12,1594512000,239.19,242.79,244.0,236.52,112487552.434,Binance,ETHUSDT
2020-07-13,1594598400,242.76,239.5,245.33,237.33,146193291.9107,Binance,ETHUSDT
2020-07-14,1594684800,239.5,240.44,242.09,237.0,102105027.1319,Binance,ETHUSDT
2020-07-15,1594771200,240.45,238.61,241.45,236.83,88059682.4834,Binance,ETHUSDT
2020-07-16,1594857600,238.59,233.57,239.39,230.02,137208323.2016,Binance,ETHUSDT
2020-07-17,1594944000,233.58,232.67,234.84,231.65,75931058.4227,Binance,ETHUSDT
2020-07-18,1595030400,232.66,235.67,236.8,232.32,80046747.8322,Binance,ETHUSDT
2020-07-19,1595116800,235.67,239.11,239.92,233.28,82120072.9936,Binance,ETHUSDT
2020-07-20,1595203200,239.12,236.01,239.72,234.05,94314378.9382,Binance,ETHUSDT
2020-07-21,1595289600,236.0,245.59,246.66,235.57,154502240.9412,Binance,ETHUSDT
2020-07-22,1595376000,245.53,263.74,269.61,241.51,180692677.214,Binance,ETHUSDT
2020-07-23,1595462400,263.75,275.3,279.98,259.7,287217202.7201,Binance,ETHUSDT
2020-07-24,1595548800,275.31,279.15,287.34,266.0,256347245.5481,Binance,ETHUSDT
2020-07-25,1595635200,279.15,305.26,308.94,279.09,308799629.3611,Binance,ETHUSDT
2020-07-26,1595721600,305.31,311.0,318.75,299.0,392346895.3227,Binance,ETHUSDT
2020-07-27,1595808000,311.02,321.93,333.31,310.78,527292799.2879,Binance,ETHUSDT
2020-07-28,1595894400,321.95,316.77,326.8,305.86,346187853.2759,Binance,ETHUSDT
2020-07-29,1595980800,316.77,317.71,325.0,312.38,254201662.1334,Binance,ETHUSDT
2020-07-30,1596067200,317.76,334.87,342.0,314.05,328286452.5183,Binance,ETHUSDT
