date,timestamp,SP_open,SP_close,SP_high,SP_low,SP_vol,spot_exchange,spot_symbol
2022-03-09,1646784000,2575.98,2726.98,2775.85,2567.7,1524779168.0222,Binance,ETHUSDT
2022-03-10,1646870400,2726.98,2606.7,2733.25,2550.27,1460470256.4757,Binance,ETHUSDT
2022-03-11,1646956800,2606.69,2556.86,2676.78,2522.57,1281060913.8355,Binance,ETHUSDT
2022-03-12,1647043200,2556.86,2568.8,2616.79,2553.39,567134036.8967,Binance,ETHUSDT
2022-03-13,1647129600,2568.8,2515.65,2603.32,2493.0,811775081.558,Binance,ETHUSDT
2022-03-14,1647216000,2515.66,2589.41,2609.6,2498.67,991479973.0915,Binance,ETHUSDT
2022-03-15,1647302400,2589.42,2617.73,2669.0,2507.0,1189436494.5355,Binance,ETHUSDT
2022-03-16,1647388800,2617.74,2773.81,2788.0,2603.38,1792497068.3613,Binance,ETHUSDT
2022-03-17,1647475200,2773.8,2811.92,2836.0,2746.42,1058301299.0338,Binance,ETHUSDT
2022-03-18,1647561600,2811.91,2938.92,2984.0,2765.59,1590887965.7614,Binance,ETHUSDT
2022-03-19,1647648000,2938.84,2950.84,2987.7,2890.86,961244629.5111,Binance,ETHUSDT
2022-03-20,1647734400,2950.85,2861.38,2964.17,2817.21,1089196046.0527,Binance,ETHUSDT
2022-03-21,1647820800,2861.39,2890.03,2960.57,2829.81,1305282353.5855,Binance,ETHUSDT
2022-03-22,1647907200,2890.03,2969.64,3052.85,2886.43,1692559175.0661,Binance,ETHUSDT
2022-03-23,1647993600,2969.64,3036.0,3045.2,2920.65,1350911495.4167,Binance,ETHUSDT
2022-03-24,1648080000,3035.99,3110.76,3129.11,2999.11,1768485489.4461,Binance,ETHUSDT
2022-03-25,1648166400,3110.75,3102.14,3193.28,3076.0,1532535177.9171,Binance,ETHUSDT
2022-03-26,1648252800,3102.13,3145.0,3153.2,3084.9,646551585.6822,Binance,ETHUSDT
2022-03-27,1648339200,3145.01,3295.65,3299.37,3126.02,1072163952.3221,Binance,ETHUSDT
2022-03-28,1648425600,3295.65,3332.92,3431.15,3275.01,1766636914.0514,Binance,ETHUSDT
2022-03-29,1648512000,3332.91,3400.51,3481.87,3329.68,1590016971.3886,Binance,ETHUSDT
2022-03-30,1648598400,3400.51,3385.79,3446.9,3331.84,1206555998.5679,Binance,ETHUSDT
2022-03-31,1648684800,3385.8,3281.51,3444.83,3261.35,1526047563.6025,Binance,ETHUSDT
2022-04-01,1648771200,3281.51,3455.21,3481.29,3210.68,1780259682.5329,Binance,ETHUSDT
2022-04-02,1648857600,3455.2,3443.77,3532.2,3433.14,1740311567.8064,Binance,ETHUSDT
2022-04-03,1648944000,3443.77,3521.91,3580.34,3412.11,1334671716.8922,Binance,ETHUSDT
2022-04-04,1649030400,3521.9,3519.5,3547.0,3405.97,1564866359.6867,Binance,ETHUSDT
2022-04-05,1649116800,3519.5,3406.99,3555.0,3400.0,1383264215.8742,Binance,ETHUSDT
2022-04-06,1649203200,3407.0,3168.51,3407.5,3162.39,2411228209.987,Binance,ETHUSDT
2022-04-07,1649289600,3168.52,3227.19,3268.98,3143.15,1470465124.5821,Binance,ETHUSDT
2022-04-08,1649376000,3227.2,3192.39,3314.02,3173.52,1634901495.6453,Binance,ETHUSDT
2022-04-09,1649462400,3192.39,3258.57,3268.4,3181.28,683630508.159,Binance,ETHUSDT
2022-04-10,1649548800,3258.57,3203.04,3307.22,3193.0,756032282.6141,Binance,ETHUSDT
2022-04-11,1649635200,3203.04,2979.74,3213.63,2950.0,2127486125.6221,Binance,ETHUSDT
2022-04-12,1649721600,2979.75,3027.66,3085.0,2950.0,1750871209.72,Binance,ETHUSDT
2022-04-13,1649808000,3027.65,3118.28,3128.97,2996.86,1285303924.9788,Binance,ETHUSDT
2022-04-14,1649894400,3118.28,3021.98,3145.0,2976.3,1249759777.2714,Binance,ETHUSDT
2022-04-15,1649980800,3021.98,3040.56,3060.92,2993.13,755644733.7343,Binance,ETHUSDT
2022-04-16,1650067200,3040.57,3059.3,3086.1,3010.03,536234354.2973,Binance,ETHUSDT
2022-04-17,1650153600,3059.3,2988.06,3083.0,2981.7,742151590.6219,Binance,ETHUSDT
2022-04-18,1650240000,2988.07,3055.56,3069.6,2883.22,1508168472.8673,Binance,ETHUSDT
2022-04-19,1650326400,3055.56,3101.77,3131.0,3030.34,1106468538.1171,Binance,ETHUSDT
2022-04-20,1650412800,3101.74,3076.04,3166.5,3036.45,1285353922.3036,Binance,ETHUSDT
