date,timestamp,FR_open,FR_close,FR_high,FR_low,perp_exchange,perp_symbol
2022-09-16,1663286400,-0.001001,0.007375,0.01,-0.1033,Binance,ETHUSDT
2022-09-17,1663372800,0.007375,0.000902,0.01,-0.005832,Binance,ETHUSDT
2022-09-18,1663459200,0.000902,-0.010281,0.01,-0.010281,Binance,ETHUSDT
2022-09-19,1663545600,-0.010281,-0.010865,0.003116,-0.016377,Binance,ETHUSDT
2022-09-20,1663632000,-0.010865,-0.003979,0.006936,-0.015495,Binance,ETHUSDT
2022-09-21,1663718400,-0.003979,-0.023941,0.001855,-0.023941,Binance,ETHUSDT
2022-09-22,1663804800,-0.023941,-0.001368,0.001885,-0.041801,Binance,ETHUSDT
2022-09-23,1663891200,-0.001368,0.001418,0.001782,-0.009365,Binance,ETHUSDT
2022-09-24,1663977600,0.001418,0.000296,0.009098,-0.010057,Binance,ETHUSDT
2022-09-25,1664064000,0.000296,0.000545,0.006478,-0.010561,Binance,ETHUSDT
2022-09-26,1664150400,0.000545,0.00196,0.01,-0.003475,Binance,ETHUSDT
2022-09-27,1664236800,0.00196,-0.000868,0.008851,-0.000868,Binance,ETHUSDT
2022-09-28,1664323200,-0.000868,0.006046,0.007271,-0.009663,Binance,ETHUSDT
2022-09-29,1664409600,0.006046,0.001262,0.01,-0.000975,Binance,ETHUSDT
2022-09-30,1664496000,0.001262,0.008083,0.01,-0.003072,Binance,ETHUSDT
2022-10-01,1664582400,0.008083,0.001184,0.01,-0.000419,Binance,ETHUSDT
2022-10-02,1664668800,0.001184,-0.002275,0.005319,-0.008233,Binance,ETHUSDT
2022-10-03,1664755200,-0.002275,0.007858,0.009426,-0.002684,Binance,ETHUSDT
2022-10-04,1664841600,0.007858,0.001954,0.01,0.000156,Binance,ETHUSDT
2022-10-05,1664928000,0.001954,0.002519,0.009644,-0.008182,Binance,ETHUSDT
2022-10-06,1665014400,0.002519,0.002016,0.00642,-0.004067,Binance,ETHUSDT
2022-10-07,1665100800,0.002016,0.005907,0.009161,0.000277,Binance,ETHUSDT
2022-10-08,1665187200,0.005907,0.003983,0.01,0.003706,Binance,ETHUSDT
2022-10-09,1665273600,0.003983,0.004643,0.01,-0.00806,Binance,ETHUSDT
2022-10-10,1665360000,0.004643,0.00705,0.009876,-0.001971,Binance,ETHUSDT
2022-10-11,1665446400,0.00705,0.008748,0.01,-0.005356,Binance,ETHUSDT
2022-10-12,1665532800,0.008748,-0.018469,0.01,-0.020651,Binance,ETHUSDT
2022-10-13,1665619200,-0.018469,0.000223,0.01,-0.018469,Binance,ETHUSDT
2022-10-14,1665705600,0.000223,0.00619,0.01,-0.001096,Binance,ETHUSDT
2022-10-15,1665792000,0.00619,0.000357,0.00619,-0.004182,Binance,ETHUSDT
2022-10-16,1665878400,0.000357,0.00075,0.00378,-0.007617,Binance,ETHUSDT
2022-10-17,1665964800,0.00075,0.00658,0.01,-0.003388,Binance,ETHUSDT
2022-10-18,1666051200,0.00658,0.006917,0.01,-0.002827,Binance,ETHUSDT
2022-10-19,1666137600,0.006917,0.00091,0.01,-0.007638,Binance,ETHUSDT
2022-10-20,1666224000,0.00091,0.01,0.01,-0.00682,Binance,ETHUSDT
2022-10-21,1666310400,0.01,0.002542,0.01,-0.003895,Binance,ETHUSDT
