date,timestamp,FR_open,FR_close,FR_high,FR_low,perp_exchange,perp_symbol
2020-06-29,1593388800,0.01,0.01,0.01,0.005355,Binance,BTCUSDT
2020-06-30,1593475200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-01,1593561600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-02,1593648000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-03,1593734400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-04,1593820800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-05,1593907200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-06,1593993600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-07,1594080000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-08,1594166400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-09,1594252800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-10,1594339200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-11,1594425600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-12,1594512000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-13,1594598400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-14,1594684800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-15,1594771200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-16,1594857600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-17,1594944000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-18,1595030400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-19,1595116800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-20,1595203200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-21,1595289600,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-22,1595376000,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-23,1595462400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-24,1595548800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-25,1595635200,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-07-26,1595721600,0.01,0.050774,0.070115,0.01,Binance,BTCUSDT
2020-07-27,1595808000,0.047138,0.062657,0.10396,0.047138,Binance,BTCUSDT
2020-07-28,1595894400,0.139155,0.090405,0.186543,0.090405,Binance,BTCUSDT
2020-07-29,1595980800,0.083655,0.061433,0.083655,0.055147,Binance,BTCUSDT
2020-07-30,1596067200,0.061684,0.087761,0.087761,0.061684,Binance,BTCUSDT
2020-07-31,1596153600,0.08274,0.030782,0.08274,0.030782,Binance,BTCUSDT
2020-08-01,1596240000,0.028014,0.110454,0.11581,0.020132,Binance,BTCUSDT
2020-08-02,1596326400,0.095912,0.025553,0.095912,0.024752,Binance,BTCUSDT
2020-08-03,1596412800,0.025859,0.03614,0.055653,0.024934,Binance,BTCUSDT
2020-08-04,1596499200,0.031314,0.017428,0.043668,0.017428,Binance,BTCUSDT
2020-08-05,1596585600,0.013862,0.039291,0.039291,0.01,Binance,BTCUSDT
2020-08-06,1596672000,0.038865,0.034542,0.042478,0.034542,Binance,BTCUSDT
2020-08-07,1596758400,0.031833,0.01,0.031833,0.01,Binance,BTCUSDT
2020-08-08,1596844800,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-08-09,1596931200,0.01,0.01,0.023643,0.01,Binance,BTCUSDT
2020-08-10,1597017600,0.01,0.019972,0.140816,0.01,Binance,BTCUSDT
2020-08-11,1597104000,0.013633,0.01,0.070469,0.01,Binance,BTCUSDT
2020-08-12,1597190400,0.01,0.01,0.01,0.01,Binance,BTCUSDT
2020-08-13,1597276800,0.01,0.014496,0.014718,0.01,Binance,BTCUSDT
2020-08-14,1597363200,0.017407,0.01,0.044052,0.01,Binance,BTCUSDT
